Title,Average_track_price
...And Justice For All,8.91
20th Century Masters - The Millennium Collection: The Best of Scorpions,11.88
"A Copland Celebration, Vol. I",0.99
A Matter of Life and Death,10.89
A Real Dead One,11.88
A Real Live One,10.89
A Soprano Inspired,0.99
A TempestadeTempestade Ou O Livro Dos Dias,14.85
A-Sides,16.83
Ace Of Spades,14.85
Achtung Baby,11.88
Acústico,21.78
Acústico MTV,20.79
Acústico MTV [Live],16.83
"Adams, John: The Chairman Dances",0.99
Adorate Deum: Gregorian Chant from the Proper of the Mass,0.99
Afrociberdelia,22.77
Album Of The Year,11.88
Alcohol Fueled Brewtality Live! [Disc 1],12.87
Alcohol Fueled Brewtality Live! [Disc 2],4.95
All That You Can't Leave Behind,10.89
Allegri: Miserere,0.99
American Idiot,12.87
Angel Dust,13.86
Ao Vivo [IMPORT],18.81
Appetite for Destruction,11.88
Aquaman,1.99
Are You Experienced?,16.83
Armada: Music from the Courts of England and Spain,0.99
Arquivo II,11.88
Arquivo Os Paralamas Do Sucesso,15.84
As Canções de Eu Tu Eles,13.86
Audioslave,13.86
Axé Bahia 2001,13.86
B-Sides 1980-1990,14.85
BBC Sessions [Disc 1] [Live],13.86
BBC Sessions [Disc 2] [Live],9.9
Bach: Goldberg Variations,0.99
Bach: Orchestral Suites Nos. 1 - 4,0.99
Bach: The Brandenburg Concertos,0.99
Bach: The Cello Suites,0.99
Bach: Toccata & Fugue in D Minor,0.99
Bach: Violin Concertos,0.99
Back to Black,11.88
BackBeat Soundtrack,11.88
Balls to the Wall,0.99
Bark at the Moon (Remastered),0.99
Bartok: Violin & Viola Concertos,0.99
Barulhinho Bom,17.82
"Battlestar Galactica (Classic), Season 1",47.76
"Battlestar Galactica, Season 3",37.81
Battlestar Galactica: The Story So Far,1.99
Beethoven Piano Sonatas: Moonlight & Pastorale,0.99
Beethoven: Symhonies Nos. 5 & 6,0.99
Beethoven: Symphony No. 6 'Pastoral' Etc.,0.99
Berlioz: Symphonie Fantastique,0.99
Beyond Good And Evil,11.88
Big Ones,14.85
Bizet: Carmen Highlights,0.99
Black Album,11.88
Black Sabbath,6.93
Black Sabbath Vol. 4 (Remaster),9.9
Blizzard of Ozz,1.98
Blood Sugar Sex Magik,16.83
Blue Moods,12.87
Body Count,16.83
Bongo Fury,8.91
Brave New World,9.9
By The Way,15.84
Cafezinho,13.86
Cake: B-Sides and Rarities,0.99
Californication,14.85
Carmina Burana,0.99
Carnaval 2001,13.86
Carried to Dust (Bonus Track Version),0.99
Carry On,13.86
Cesta Básica,9.9
"Charpentier: Divertissements, Airs & Concerts",0.99
Chemical Wedding,10.89
Chill: Brazil (Disc 1),16.83
Chill: Brazil (Disc 2),16.83
Chopin: Piano Concertos Nos. 1 & 2,0.99
"Chronicle, Vol. 1",19.8
"Chronicle, Vol. 2",19.8
Cidade Negra - Hits,13.86
Coda,7.92
Come Taste The Band,8.91
Compositores,14.85
Contraband,12.87
Core,11.88
Cássia Eller - Coleção Sem Limite [Disc 2],14.85
Cássia Eller - Sem Limite [Disc 1],14.85
Da Lama Ao Caos,12.87
Dance Of Death,10.89
Dark Side Of The Moon,8.91
Deep Purple In Rock,6.93
Deixa Entrar,13.86
Demorou...,11.88
Diary of a Madman (Remastered),0.99
Diver Down,11.88
Djavan Ao Vivo - Vol. 02,12.87
Djavan Ao Vivo - Vol. 1,12.87
Duos II,0.99
Elgar: Cello Concerto & Vaughan Williams: Fantasias,0.99
Elis Regina-Minha História,13.86
Emergency On Planet Earth,9.9
English Renaissance,1.98
Every Kind of Light,1.98
Faceless,11.88
Facelift,11.88
"Fauré: Requiem, Ravel: Pavane & Others",0.99
Fear Of The Dark,11.88
Fireball,6.93
For Those About To Rock We Salute You,9.9
Frank,10.89
From The Muddy Banks Of The Wishkah [Live],16.83
Garage Inc. (Disc 1),10.89
Garage Inc. (Disc 2),15.84
Get Born,12.87
Great Opera Choruses,0.99
Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,0.99
Great Recordings of the Century - Mahler: Das Lied von der Erde,0.99
"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",0.99
Great Recordings of the Century: Paganini's 24 Caprices,0.99
Greatest Hits,56.43
Greatest Hits I,16.83
Greatest Hits II,16.83
Greatest Kiss,19.8
Green,10.89
Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,0.99
Górecki: Symphony No. 3,0.99
Handel: Music for the Royal Fireworks (Original Version 1749),0.99
Handel: The Messiah (Highlights),0.99
Haydn: Symphonies 99 - 104,0.99
Heart of the Night,11.88
"Heroes, Season 1",45.77
"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",0.99
"Hot Rocks, 1964-1971 (Disc 1)",11.88
House of Pain,18.81
Houses Of The Holy,7.92
How To Dismantle An Atomic Bomb,10.89
IV,7.92
In Step,9.9
In Through The Out Door,6.93
In Your Honor [Disc 1],9.9
In Your Honor [Disc 2],9.9
Instant Karma: The Amnesty International Campaign to Save Darfur,22.77
International Superhits,20.79
Into The Light,11.88
Iron Maiden,8.91
"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",0.99
Jagged Little Pill,12.87
Jorge Ben Jor 25 Anos,13.86
Jota Quest-1995,11.88
Judas 0: B-Sides and Rarities,15.84
Kill 'Em All,9.9
Killers,9.9
King For A Day Fool For A Lifetime,14.85
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,10.89
Koyaanisqatsi (Soundtrack from the Motion Picture),0.99
"LOST, Season 4",33.83
Led Zeppelin I,8.91
Led Zeppelin II,8.91
Led Zeppelin III,9.9
Let There Be Rock,7.92
Liszt - 12 Études D'Execution Transcendante,0.99
Live After Death,17.82
Live At Donington 1992 (Disc 1),9.9
Live At Donington 1992 (Disc 2),9.9
Live On Two Legs [Live],15.84
Live [Disc 1],9.9
Live [Disc 2],8.91
Living After Midnight,15.84
Load,13.86
"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",0.99
"Lost, Season 1",49.75
"Lost, Season 2",47.76
"Lost, Season 3",51.74
Lulu Santos - RCA 100 Anos De Música - Álbum 01,13.86
Lulu Santos - RCA 100 Anos De Música - Álbum 02,13.86
MK III The Final Concerts [Disc 1],6.93
Machine Head,6.93
Mais Do Mesmo,15.84
Maquinarama,11.88
Mascagni: Cavalleria Rusticana,0.99
Master Of Puppets,7.92
Mendelssohn: A Midsummer Night's Dream,0.99
Meus Momentos,13.86
Mezmerize,10.89
Miles Ahead,13.86
Milton Nascimento Ao Vivo,12.87
Minas,12.87
Minha Historia,33.66
Minha História,13.86
Misplaced Childhood,9.9
Monteverdi: L'Orfeo,0.99
Morning Dance,8.91
Motley Crue Greatest Hits,16.83
Mozart Gala: Famous Arias,0.99
Mozart: Chamber Music,0.99
Mozart: Symphonies Nos. 40 & 41,0.99
Mozart: Wind Concertos,0.99
Muso Ko,1.98
My Generation - The Very Best Of The Who,19.8
My Way: The Best Of Frank Sinatra [Disc 1],23.76
Na Pista,9.9
Nevermind,11.88
New Adventures In Hi-Fi,13.86
News Of The World,10.89
Nielsen: The Six Symphonies,0.99
No More Tears (Remastered),1.98
No Prayer For The Dying,9.9
No Security,13.86
O Samba Poconé,10.89
Olodum,13.86
One By One,10.89
Original Soundtracks 1,13.86
Os Cães Ladram Mas A Caravana Não Pára,15.84
Out Of Exile,11.88
Out Of Time,10.89
Outbreak,8.91
Pachelbel: Canon & Gigue,0.99
Palestrina: Missa Papae Marcelli & Allegri: Miserere,0.99
Pavarotti's Opera Made Easy,0.99
Pearl Jam,12.87
Physical Graffiti [Disc 1],5.94
Physical Graffiti [Disc 2],8.91
Piece Of Mind,8.91
Plays Metallica By Four Cellos,7.92
Pop,11.88
Powerslave,7.92
Prenda Minha,17.82
Presence,6.93
Prokofiev: Romeo & Juliet,0.99
Prokofiev: Symphony No.1,0.99
Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,0.99
Puccini: Madama Butterfly - Highlights,0.99
Purcell: Music for the Queen Mary,0.99
Purcell: The Fairy Queen,0.99
"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",17.82
Purpendicular,11.88
Quanta Gente Veio Ver (Live),14.85
Quanta Gente Veio ver--Bônus De Carnaval,2.97
Quiet Songs,1.98
Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,16.83
Rattle And Hum,16.83
Raul Seixas,13.86
ReLoad,12.87
Realize,1.98
Respighi:Pines of Rome,0.99
Restless and Wild,2.97
Retrospective I (1974-1980),13.86
Revelations,13.86
Ride The Lightning,7.92
Riot Act,14.85
Rock In Rio [CD1],9.9
Rock In Rio [CD2],8.91
Roda De Funk,15.84
Rotten Apples: Greatest Hits,17.82
SCRIABIN: Vers la flamme,0.99
Sambas De Enredo 2001,13.86
Santana - As Years Go By,7.92
Santana Live,5.94
Scheherazade,0.99
Schubert: The Late String Quartets & String Quintet (3 CD's),0.99
Seek And Shall Find: More Of The Best (1963-1981),17.82
Serie Sem Limite (Disc 1),14.85
Serie Sem Limite (Disc 2),14.85
Seventh Son of a Seventh Son,7.92
Sex Machine,19.8
Sibelius: Finlandia,0.99
Sir Neville Marriner: A Celebration,0.99
Slaves And Masters,8.91
Somewhere in Time,7.92
South American Getaway,0.99
Sozinho Remix Ao Vivo,2.97
Speak of the Devil,11.88
St. Anger,10.89
Stormbringer,8.91
Strauss: Waltzes,0.99
Supernatural,12.87
Surfing with the Alien (Remastered),9.9
Synkronized,10.89
"Szymanowski: Piano Works, Vol. 1",0.99
Tangents,14.85
"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",0.99
Tchaikovsky: The Nutcracker,0.99
Temple of the Dog,9.9
Ten,10.89
The Battle Rages On,9.9
The Beast Live,9.9
The Best Of 1980-1990,13.86
The Best Of Billy Cobham,7.92
The Best Of Buddy Guy - The Millenium Collection,10.89
The Best Of Men At Work,9.9
The Best Of R.E.M.: The IRS Years,15.84
"The Best Of Van Halen, Vol. I",16.83
The Best of Beethoven,0.99
The Best of Ed Motta,13.86
The Colour And The Shape,12.87
The Cream Of Clapton,17.82
The Doors,10.89
The Essential Miles Davis [Disc 1],12.87
The Essential Miles Davis [Disc 2],9.9
The Final Concerts (Disc 2),3.96
The Last Night of the Proms,0.99
The Number of The Beast,7.92
"The Office, Season 1",11.94
"The Office, Season 2",43.78
"The Office, Season 3",49.75
The Police Greatest Hits,13.86
The Real Thing,10.89
The Return Of The Space Cowboy,10.89
The Singles,17.82
The Song Remains The Same (Disc 1),4.95
The Song Remains The Same (Disc 2),3.96
The Ultimate Relexation Album,0.99
The World of Classical Favourites,1.98
The X Factor,10.89
Transmission,10.89
Tribute,13.86
UB40 The Best Of - Volume Two [UK],13.86
Un-Led-Ed,0.99
Unplugged,29.7
Unplugged [Live],14.85
Up An' Atom,21.78
Use Your Illusion I,15.84
Use Your Illusion II,13.86
Van Halen,10.89
Van Halen III,11.88
Vault: Def Leppard's Greatest Hits,15.84
Vinicius De Moraes,14.85
Vinícius De Moraes - Sem Limite,14.85
Virtual XI,7.92
Vivaldi: The Four Seasons,0.99
Volume Dois,15.84
Voodoo Lounge,14.85
Vozes do MPB,13.86
Vs.,11.88
Wagner: Favourite Overtures,0.99
Walking Into Clarksdale,11.88
War,9.9
Warner 25 Anos,13.86
Weill: The Seven Deadly Sins,0.99
Worlds,0.99
Zooropa,9.9
[1997] Black Light Syndrome,6.93
